SDSS_ID,Cluster
spec-4356-55829-0464.fits,0
spec-0778-54525-0155.fits,0
spec-0303-51615-0290.fits,2
spec-2088-53493-0316.fits,1
spec-2478-54097-0102.fits,2
spec-0334-51993-0218.fits,1
spec-2373-53768-0322.fits,1
spec-1758-53084-0028.fits,0
spec-2036-53446-0222.fits,2
spec-1382-53115-0594.fits,1
spec-2244-53795-0296.fits,1
spec-1427-52996-0591.fits,2
spec-4654-55659-0336.fits,2
spec-4376-55863-0838.fits,2
spec-0594-52045-0534.fits,2
spec-2752-54533-0357.fits,2
spec-2526-54582-0090.fits,0
spec-0969-52442-0474.fits,1
spec-0464-51908-0286.fits,1
spec-0853-52374-0569.fits,2
spec-0281-51614-0575.fits,2
spec-0364-52000-0525.fits,0
spec-1577-53495-0622.fits,2
spec-1322-52791-0418.fits,2
spec-1659-53224-0063.fits,1
spec-0421-51821-0106.fits,0
spec-2365-53739-0236.fits,2
spec-4420-55883-0657.fits,0
spec-1941-53386-0164.fits,2
spec-0411-51817-0464.fits,1
spec-1733-53047-0401.fits,2
spec-0558-52317-0320.fits,0
spec-0936-52705-0007.fits,1
spec-1375-53084-0073.fits,0
spec-0295-51985-0176.fits,1
spec-1365-53062-0058.fits,0
spec-2128-53800-0026.fits,0
spec-1402-52872-0463.fits,2
spec-2579-54068-0465.fits,2
spec-1226-52734-0301.fits,0
spec-4073-55663-0312.fits,2
spec-0846-52407-0046.fits,2
spec-2759-54534-0136.fits,2
spec-1324-53088-0471.fits,2
spec-2483-53852-0292.fits,2
spec-2580-54092-0115.fits,2
spec-2782-54592-0031.fits,2
spec-1376-53089-0237.fits,2
spec-0744-52251-0618.fits,1
spec-1655-53523-0415.fits,2
spec-2264-53682-0103.fits,2
spec-2159-54328-0383.fits,2
spec-2120-53852-0431.fits,2
spec-0896-52592-0387.fits,2
spec-4304-55506-0701.fits,2
spec-1227-52733-0384.fits,0
