GALAXY ID,ra,dec,plate,mjd,fiberid,objid,deVRad_r,deVRadErr_r,expRad_r,expRadErr_r,z,zErr,SNR,velDisp_SDSS,velDispErr_SDSS,velDisp_ppxf_full,velDisp_ppxf_err_full,velDisp_ppxf_res,velDisp_ppxf_err_res,logM*,errlogM*,logSFR,errlogSFR,logsSFR,errlogsSFR,petroR50Errkpc_r,petroR50kpc_r,deVRadkpc_r,deVRadErrkpc_r,expRadkpc_r,expRadErrkpc_r,fracDev_r,meanRad_r,meanRadErr_r,meanRadkpc_r,meanRadErrkpc_r,meanRad_kids,meanRadkpc_kids,Mgb_ssp,Fe_avg_ssp,Mgb_sigmacorr,Fe_avg_sigmacorr,MgFe,alphaFe_flag,univ_age,age_mean_mass,age_err_mass,age_mean_light,age_err_light,[M/H]_mean_mass,[M/H]_err_mass,[M/H]_mean_light,[M/H]_err_light,Mtbb3,Mtbb3_unr,Mtbb3_reg,Mtbb3_alphaplus,Mtbb3_alphamin,t_75,t_75_unr,t_75_reg,t_75_alphaplus,t_75_alphamin,t_90,t_90_unr,t_90_reg,t_90_alphaplus,t_90_alphamin,t_100,t_100_unr,t_100_reg,t_100_alphaplus,t_100_alphamin,DoR
J1436+3123,219.1544801,31.39430488,1842,53501,281,1.24E+18,1.457346,0.01504329,1.345311,0.01123948,0.08445264,2.09E-05,33.44261687,331.294,9.453977,342.9273299,17.1463665,338.152649,16.90763245,11.074,0.01,-1.762,0.555,-12.836,0.555090083,0.029276661,2.057635648,2.389197915,0.024662226,2.205525823,0.018426195,0.9627496,1.453009973,0.014446909,2.382089358,0.023684509,0.68670685,1.125798935,4.84888714,2.08959647,5.887931125,3.125992574,0.4,0,12.60207803,11.69342178,0.526044324,11.48577566,0.468552497,0.228381328,0.009846113,0.236957476,0.016478863,0.99251,1,0.99251,,1,0.5728,0.5728,0.51738,,0.56013,1.45503,0.97949,1.45503,,0.96663,6.95291,1.89989,6.95291,,1.93232,0.78974472
J1520+2035,230.0425897,20.5906972,2159,54328,383,1.24E+18,0.6418754,0.01840425,0.7326272,0.01155533,0.1502319,3.29E-05,17.69011088,228.0658,12.76015,275.5482622,27.55482622,264.6192053,26.46192053,11.076,0.016,-1.531,0.51,-12.607,0.510250919,0.027291467,2.585051676,1.736232828,0.049782346,1.981710773,0.031256445,0,0.7326272,0.01155533,1.981710773,0.031256445,0.385764055,1.043467651,3.721798139,2.396834088,4.169469908,3.179126816,0.2,0,11.81778675,10.43512983,0.354316054,9.93318383,0.159002454,0.209770145,0.01086249,0.209445765,0.01050854,0.9151,0.99267,0.9151,0.99533,0.98943,1.33443,1.29612,0.55965,1.27412,1.33443,2.14613,1.89927,2.14613,1.84783,1.96961,10.85935,3.56698,10.19919,3.27329,10.85935,0.47670859
J0929+3120,142.286137,31.34962977,1941,53386,164,1.24E+18,1.084418,0.03397093,0.960937,0.0102247,0.1286846,2.10E-05,23.61111385,229.8482,9.367905,229.8580878,22.98580878,222.8930073,22.28930073,11.077,0.019,-1.849,0.435,-12.926,0.435414745,0.030769563,2.925505182,2.574438673,0.080647938,2.281291324,0.024273724,0,0.960937,0.0102247,2.281291324,0.024273724,0.492835446,1.170005139,3.925002706,2.27849184,4.196294268,2.793870544,0.3,0,12.06692618,11.04348321,0.404288702,10.17961067,0.15227305,0.218685372,0.015837389,0.207525081,0.009538598,0.98908,0.99752,0.98908,0.99777,0.99694,0.94073,0.82764,0.06668,0.76778,0.94073,1.47829,1.34253,0.39695,1.26239,1.47829,11.18382,11.16413,10.8524,11.11874,11.18382,0.550591985
J2252+0106,343.0931283,1.11666272,379,51789,401,1.24E+18,1.322708,0.0181943,1.171535,0.006336574,0.07167702,1.55E-05,29.04094657,221.5358,7.799869,249.1421249,24.91421249,242.4512748,24.24512748,11.083,0.011,-0.185,0.086,-11.268,0.086700634,0.029400163,1.681520397,1.868189961,0.025697591,1.654673538,0.008949764,1,1.322708,0.0181943,1.868189961,0.025697591,0.6390704,0.902621672,3.85836669,2.69493047,4.202267897,3.414034537,0.1,0,12.76285135,9.096005448,1.734574628,6.726176426,1.180871974,0.154301284,0.050376238,0.072832218,0.035267878,0.75848,0.89321,0.75848,0.92598,0.85828,2.73288,1.86936,2.73288,1.58495,1.6519,10.24861,3.09096,6.87926,2.53118,10.24861,11.65355,11.50901,11.65355,11.25674,11.552,0.361066757
J2325+1328,351.3445843,13.47442346,745,52258,16,1.24E+18,0.5898694,0.01538722,0.7029285,0.01618146,0.1675693,3.06E-05,16.64656254,202.3678,11.91643,211.4195667,21.14195667,209.06613,20.906613,11.084,0.028,-1.551,0.665,-12.635,0.665589213,0.018440009,2.995895225,1.745583577,0.045534958,2.080156125,0.04788533,0.4157979,0.653500531,0.011290696,1.933885355,0.033412233,0.344823407,1.020426006,1.840021548,1.813804634,1.93615606,2.157987523,0.2,0,11.62257298,10.11924988,0.410627399,9.96044432,0.411581942,0.124812819,0.022553945,0.074948906,0.00891553,0.81552,0.95616,0.81552,0.96219,0.9415,1.67438,1.33944,1.67438,1.20951,1.60026,3.49798,2.1185,3.49798,1.96934,2.49875,9.96253,7.4642,9.04077,6.45889,9.96253,0.439064946
J2246+0145,341.7307658,1.750001935,4294,55500,385,1.24E+18,0.7699034,0.03083967,0.7450309,0.0129046,0.1586075,2.43E-05,23.34465928,253.5306,9.820249,303.6885383,30.36885383,281.0867062,28.10867062,11.084,0.017,-1.739,0.602,-12.823,0.602239985,0.052041236,2.970326973,2.178132463,0.08724846,2.107765713,0.036508383,0.08132656,0.747023322,0.012133366,2.113402472,0.034326487,0.392970605,1.111752503,4.952063476,2.704828831,5.731493889,3.771520942,0.2,0,11.72290522,11.06279078,0.040856444,11.17660342,0.032001486,0.230363661,0.002912889,0.237219619,0.006865769,0.99247,1,0.99247,1,1,0.76479,0.71312,0.2184,0.69611,0.76479,1.18217,1.14099,1.13302,1.1201,1.18217,7.07927,2.12039,7.07927,2.1022,2.14533,0.700690939
J1130+3731,172.5762686,37.53222672,2036,53446,222,1.24E+18,0.8100461,0.01754867,0.9324381,0.008117457,0.1181326,2.13E-05,26.64807035,241.3087,9.244116,248.9966841,24.89966841,242.6459769,24.26459769,11.089,0.024,-1.608,0.602,-12.697,0.602478215,0.011246239,2.762996739,1.786740185,0.038707567,2.056703468,0.01790489,0.1852043,0.908452292,0.007403355,2.003797335,0.016329776,0.469458808,1.035497755,4.154052687,2.898528378,4.523644401,3.671044276,0.1,0,12.19164295,11.18416548,0.303649864,10.83108109,0.167361183,0.226119666,0.008099803,0.219827397,0.015105771,0.99671,0.99908,0.99671,0.99923,0.99863,1.47174,0.91176,1.47174,0.83086,1.05574,1.8216,1.39815,1.8216,1.27077,1.57713,9.30529,2.60921,9.30529,2.50523,2.68977,0.54353626
J1201+3445,180.3895305,34.75568766,2089,53498,348,1.24E+18,0.7928066,0.01998128,0.905077,0.01561095,0.131546,1.72E-05,29.01195524,226.5435,7.231864,217.655055,21.7655055,216.1790655,21.61790655,11.098,0.021,-1.669,0.644,-12.767,0.6443423,0.012358539,2.821773932,1.917756935,0.048333652,2.189333052,0.037762056,0.1633342,0.885708531,0.013291506,2.142481757,0.032151445,0.459119377,1.110585317,3.57706648,2.520836127,3.783475538,3.029550939,0.2,0,12.0334168,11.24339895,0.261177368,11.06446335,0.235516499,0.197612066,0.019360302,0.17011068,0.032663735,0.98242,0.99898,0.98242,0.99915,0.99955,1.07576,0.76436,1.07576,0.62227,0.79913,1.46299,1.26415,1.46299,1.03244,1.29438,8.76165,2.46019,8.76165,2.02406,2.44187,0.59242304
J1356+3030,209.0872165,30.50207523,2116,53854,544,1.24E+18,1.124689,0.02199411,0.9649981,0.01168687,0.1144184,3.17E-05,17.48005843,208.0533,12.05463,256.1424751,25.61424751,209.01373,20.901373,11.101,0.024,0.674,0.057,-10.427,0.061846584,0.019243639,2.608954211,2.412994883,0.047187867,2.070381659,0.025073916,0.9234337,1.111578991,0.020099803,2.384867655,0.043123673,0.556594346,1.194160616,4.331511256,2.496324196,4.751617098,3.200781874,0.3,0,12.23597442,8.218496705,1.000694126,8.012495788,1.004133188,0.019537294,0.034254425,-0.060107654,0.020775667,0.04735,0.45329,0.81891,0.60105,0.04735,6.08466,4.01724,2.62916,3.58741,6.08466,6.69412,4.70805,4.92399,4.38486,6.69412,10.19776,6.15851,10.19776,7.35161,7.74449,0.117769263
J1620+1722,245.0892333,17.38273452,4073,55663,312,1.24E+18,0.7455781,0.01361977,0.7969744,0.008706275,0.1137385,1.50E-05,37.62249639,258.8284,6.995058,282.3929902,14.11964951,274.1528584,13.70764292,11.104,0.033,-1.757,0.604,-12.861,0.604900818,0.037209393,2.32969202,1.591355169,0.029069914,1.701054968,0.018582595,0,0.7969744,0.008706275,1.701054968,0.018582595,0.417451919,0.891005608,4.605536227,2.677757724,5.199560247,3.594917788,0.2,0,12.24411406,11.59855267,0.079910351,11.51739762,0.364163805,0.240379586,0.006783714,0.251192986,0.005157159,0.98716,0.99929,0.98716,0.99927,0.99906,0.70864,0.69741,0.41588,0.66967,0.70864,1.42866,1.11366,1.42866,1.06938,1.12884,9.12021,2.1757,9.12021,2.11478,2.1949,0.668347457
